"用例编号","所属产品","所属模块","相关需求","用例标题","前置条件","步骤","预期","实际情况","关键词","优先级","用例类型","适用阶段","用例状态","B","R","S","结果","由谁创建","创建日期","最后修改者","修改日期","用例版本","相关用例"
"168918","数据资产_STD(#23)","/版本迭代测试用例/v6.4.5/岚图/多表唯一性校验支持明细数据中统计重复数(#9698)","","验证「多表唯一性」明细数据-多字段联合查询「重复数」统计正确","1. 资产平台已存在${DATASOURCE}_${DATABASE}_${TABLE}并授权给当前测试项目
2. ${TABLE} DDL\DML 如下：
drop table if exists table1;
create table if not EXISTS my_table_sink (
id int,
age string,
name string,
score string,
sex string
)USING paimon
tblproperties (
&#039;primary-key&#039; = &#039;id&#039;
);
INSERT INTO table1 VALUES
(1, &#039;11&#039;,&#039;林大&#039;,&#039;100&#039;,&#039;男&#039;),
(2, &#039;12&#039;,&#039;王二&#039;,&#039;99&#039;,&#039;男&#039;);
(3, &#039;13&#039;,&#039;张三&#039;,&#039;99&#039;,&#039;男&#039;);
(4, &#039;14&#039;,&#039;李四&#039;,&#039;100&#039;,&#039;女&#039;);
SELECT * FROM table1;
drop table if exists table2;
create table if not EXISTS my_table_sink (
id int,
age string,
name string,
score string,
sex string
)USING paimon
tblproperties (
&#039;primary-key&#039; = &#039;id&#039;
);
INSERT INTO table2 VALUES
(1, &#039;11&#039;,&#039;林大&#039;,&#039;100&#039;,&#039;男&#039;),
(2, &#039;12&#039;,&#039;王二&#039;,&#039;99&#039;,&#039;男&#039;);
(3, &#039;13&#039;,&#039;张三&#039;,&#039;99&#039;,&#039;男&#039;);
(4, &#039;14&#039;,&#039;李四&#039;,&#039;100&#039;,&#039;女&#039;);
SELECT * FROM table2;","1. 进入「数据质量」-「规则任务配置」-「监控对象」页面
2. 「规则名称」输入「test_rule」「选择数据源」选择「${DATASOURCE}」「选择数据库」选择「${DATABASE}」「选择数据表」选择「${TABLE}」
3. 「监控规则」新增「唯一性校验」「字段」选择「id」「sex」「统计函数」选择「多表唯一性校验」「过滤条件」设置为「id<100」「校验字段逻辑」选择「唯一」「和其他表的校验关系」选择为「且」「对比表」选择「table2」-「sex」「score」字段「强弱规则」选择为「弱规则」「规则描述」输入「测试规则」
4. 配置「调度属性」，保存规则
5. 临时运行规则
6. 进入「任务实例查询」页面，查看任务实例详情-明细数据
7. 校验字段统计数量数值正确","1. 进入成功
2. 监控对象配置成功
3. 监控规则配置完成
4. 规则保存成功
5. 规则校验失败
6. 明细数据内新增字段重复数统计字段
7. table1-id,sex重复值为0，table2-sex,score重复值为2","1. 
2. 
3. 
4. 
5. 
6. 
7.","","1","功能测试","功能测试阶段","正常","0","2","7","通过","可颂","2025-11-24","旺仔","2025-11-26","1","",""
"168917","数据资产_STD(#23)","/版本迭代测试用例/v6.4.5/岚图/多表唯一性校验支持明细数据中统计重复数(#9698)","","验证「多表唯一性」明细数据-单个字段「重复数」统计正确","1. 资产平台已存在${DATASOURCE}_${DATABASE}_${TABLE}并授权给当前测试项目
2. ${TABLE} DDL\DML 如下：
drop table if exists table1;
create table if not EXISTS my_table_sink (
id int,
age string,
name string,
score string,
sex string
)USING paimon
tblproperties (
&#039;primary-key&#039; = &#039;id&#039;
);
INSERT INTO table1 VALUES
(1, &#039;11&#039;,&#039;林大&#039;,&#039;100&#039;,&#039;男&#039;),
(2, &#039;12&#039;,&#039;王二&#039;,&#039;99&#039;,&#039;男&#039;);
(3, &#039;13&#039;,&#039;张三&#039;,&#039;99&#039;,&#039;男&#039;);
(4, &#039;14&#039;,&#039;李四&#039;,&#039;100&#039;,&#039;女&#039;);
SELECT * FROM table1;
drop table if exists table2;
create table if not EXISTS my_table_sink (
id int,
age string,
name string,
score string,
sex string
)USING paimon
tblproperties (
&#039;primary-key&#039; = &#039;id&#039;
);
INSERT INTO table2 VALUES
(1, &#039;11&#039;,&#039;林大&#039;,&#039;100&#039;,&#039;男&#039;),
(2, &#039;12&#039;,&#039;王二&#039;,&#039;99&#039;,&#039;男&#039;);
(3, &#039;13&#039;,&#039;张三&#039;,&#039;99&#039;,&#039;男&#039;);
(4, &#039;14&#039;,&#039;李四&#039;,&#039;100&#039;,&#039;女&#039;);
SELECT * FROM table2;","1. 进入「数据质量」-「规则任务配置」-「监控对象」页面
2. 「规则名称」输入「test_rule」「选择数据源」选择「${DATASOURCE}」「选择数据库」选择「${DATABASE}」「选择数据表」选择「${TABLE}」
3. 「监控规则」新增「唯一性校验」「字段」选择「sex」「统计函数」选择「多表唯一性校验」「过滤条件」设置为「id<100」「校验字段逻辑」选择「唯一」「和其他表的校验关系」选择为「且」「对比表」选择「table2」-「score」字段「强弱规则」选择为「弱规则」「规则描述」输入「测试规则」
4. 配置「调度属性」，保存规则
5. 临时运行规则
6. 进入「任务实例查询」页面，查看任务实例详情-明细数据
7. 校验字段统计数量数值正确","1. 进入成功
2. 监控对象配置成功
3. 监控规则配置完成
4. 规则保存成功
5. 规则校验失败
6. 明细数据内新增字段重复数统计字段
7. table1-sex重复值为3，table2-score重复值为2","1. 
2. 
3. 
4. 
5. 
6. 
7.","","1","功能测试","功能测试阶段","正常","0","2","7","通过","可颂","2025-11-24","旺仔","2025-11-26","1","",""
"168916","数据资产_STD(#23)","/版本迭代测试用例/v6.4.5/岚图/明细数据下载支持100W条数据(#9697)","","验证「数据质量」-「质量报告」详情-明细数据支持下载1万条数据","1. 资产平台已存在${DATASOURCE}_${DATABASE}_${TABLE}并授权给当前测试项目
2. ${TABLE} DDL\DML 如下：
drop table if exists table1;
create table if not EXISTS my_table_sink (
id int,
age string,
name string,
score string,
sex string

)USING paimon
tblproperties (
&#039;primary-key&#039; = &#039;id&#039;
);","1. 进入「数据质量」-「规则任务配置」-「监控对象」页面
2. 「规则名称」输入「test_rule」「选择数据源」选择「${DATASOURCE}」「选择数据库」选择「${DATABASE}」「选择数据表」选择「${TABLE}」
3. 「监控规则」新增「有效性校验」「字段」选择「score」「统计函数」选择「数值取值范围」「期望值」为「score > 150」「过滤条件」设置为「id != 100」「强弱规则」选择为「弱规则」「规则描述」输入「测试规则」
4. 配置「调度属性」，配置「规则报告」，保存规则
5. 临时运行规则
6. 第二天查看报告详情，下载明细数据","1. 进入成功
2. 监控对象配置成功
3. 监控规则配置完成
4. 规则保存成功
5. 规则校验失败
6. 成功下载脏数据前1w条数据","1. 
2. 
3. 
4. 
5. 
6.","","2","功能测试","功能测试阶段","正常","0","1","6","失败","可颂","2025-11-24","","0000-00-00","1","",""
"168915","数据资产_STD(#23)","/版本迭代测试用例/v6.4.5/岚图/明细数据下载支持100W条数据(#9697)","","验证「数据质量」-「规则实例」详情-明细数据支持下载100万条数据","1. 资产平台已存在${DATASOURCE}_${DATABASE}_${TABLE}并授权给当前测试项目
2. ${TABLE} DDL\DML 如下：
drop table if exists table1;
create table if not EXISTS my_table_sink (
id int,
age string,
name string,
score string,
sex string

)USING paimon
tblproperties (
&#039;primary-key&#039; = &#039;id&#039;
);
3. 数据表内有200w条数据","1. 进入「数据质量」-「规则任务配置」-「监控对象」页面
2. 「规则名称」输入「test_rule」「选择数据源」选择「${DATASOURCE}」「选择数据库」选择「${DATABASE}」「选择数据表」选择「${TABLE}」
3. 「监控规则」新增「有效性校验」「字段」选择「score」「统计函数」选择「数值取值范围」「期望值」为「score > 150」「过滤条件」设置为「id != 100」「强弱规则」选择为「弱规则」「规则描述」输入「测试规则」
4. 配置「调度属性」，保存规则
5. 临时运行规则
6. 进入「任务实例查询」页面，查看任务实例详情-明细数据
7. 点击下载明细数据","1. 进入成功
2. 监控对象配置成功
3. 监控规则配置完成
4. 规则保存成功
5. 规则校验失败
6. 明细数据预览正确
7. 成功下载脏数据前100w条数据","1. 
2. 
3. 
4. 
5. 
6. 
7.","","2","功能测试","功能测试阶段","正常","0","1","7","失败","可颂","2025-11-24","","0000-00-00","1","",""
"168914","数据资产_STD(#23)","/版本迭代测试用例/v6.4.5/岚图/质量报告取值范围、枚举值不通过场景说明优化(#9696)","","验证「有效性-枚举值」校验不通过时，质量报告文案优化正确","1. 资产平台已存在${DATASOURCE}_${DATABASE}_${TABLE}并授权给当前测试项目
2. ${TABLE} DDL\DML 如下：
drop table if exists table1;
create table if not EXISTS table1 (
id int,
age string,
name string,
score string,
sex string
)USING paimon
tblproperties (
&#039;primary-key&#039; = &#039;id&#039;
);
INSERT INTO table1 VALUES
(1, &#039;11&#039;,&#039;林大&#039;,&#039;100&#039;,&#039;男&#039;),
(2, &#039;12&#039;,&#039;王二&#039;,&#039;99&#039;,&#039;男&#039;);
(3, &#039;13&#039;,&#039;张三&#039;,&#039;99&#039;,&#039;男&#039;);
(4, &#039;14&#039;,&#039;李四&#039;,&#039;100&#039;,&#039;女&#039;);
SELECT * FROM table1;","1. 进入「数据质量」-「规则任务配置」-「监控对象」页面
2. 「规则名称」输入「test_rule」「选择数据源」选择「${DATASOURCE}」「选择数据库」选择「${DATABASE}」「选择数据表」选择「${TABLE}」
3. 「监控规则」新增「有效性校验」「字段」选择「score」「统计函数」选择「枚举值」「期望值」为「100,101,102」「过滤条件」设置为「id != 100」「强弱规则」选择为「弱规则」「规则描述」输入「测试规则」
4. 配置「调度属性」，保存规则
5. 临时运行规则
6. 进入「任务实例查询」页面，查看任务实例详情-明细数据
7. 进入「质量报告」页面查看报告详情信息","1. 进入成功
2. 监控对象配置成功
3. 监控规则配置完成
4. 规则保存成功
5. 规则校验失败
6. 明细数据预览正确
7. 规则校验不通过说明为“字段枚举值存在约定范围外的值，约定范围外的值的数量总计为2个，不符合规则“枚举值包含xx””","1. 
2. 
3. 
4. 
5. 
6. 
7.","","2","功能测试","功能测试阶段","正常","0","2","7","失败","可颂","2025-11-24","旺仔","2025-11-29","1","",""
"168913","数据资产_STD(#23)","/版本迭代测试用例/v6.4.5/岚图/质量报告取值范围、枚举值不通过场景说明优化(#9696)","","验证「有效性-数值取值范围」校验不通过时，质量报告文案优化正确","1. 资产平台已存在${DATASOURCE}_${DATABASE}_${TABLE}并授权给当前测试项目
2. ${TABLE} DDL\DML 如下：
drop table if exists table1;
create table if not EXISTS table1 (
id int,
age string,
name string,
score string,
sex string
)USING paimon
tblproperties (
&#039;primary-key&#039; = &#039;id&#039;
);
INSERT INTO table1 VALUES
(1, &#039;11&#039;,&#039;林大&#039;,&#039;100&#039;,&#039;男&#039;),
(2, &#039;12&#039;,&#039;王二&#039;,&#039;99&#039;,&#039;男&#039;);
(3, &#039;13&#039;,&#039;张三&#039;,&#039;99&#039;,&#039;男&#039;);
(4, &#039;14&#039;,&#039;李四&#039;,&#039;100&#039;,&#039;女&#039;);
SELECT * FROM table1;","1. 进入「数据质量」-「规则任务配置」-「监控对象」页面
2. 「规则名称」输入「test_rule」「选择数据源」选择「${DATASOURCE}」「选择数据库」选择「${DATABASE}」「选择数据表」选择「${TABLE}」
3. 「监控规则」新增「有效性校验」「字段」选择「score」「统计函数」选择「数值取值范围」「期望值」为「score > 150」「过滤条件」设置为「id != 100」「强弱规则」选择为「弱规则」「规则描述」输入「测试规则」
4. 配置「调度属性」，保存规则
5. 临时运行规则
6. 进入「任务实例查询」页面，查看任务实例详情-明细数据
7. 进入「质量报告」页面查看报告详情信息","1. 进入成功
2. 监控对象配置成功
3. 监控规则配置完成
4. 规则保存成功
5. 规则校验失败
6. 明细数据预览正确
7. 规则校验不通过说明为“存在字段值不符合取值范围区间，不在区间内的数量为4个，不符合规则“取值范围xx”","1. 
2. 
3. 
4. 
5. 
6. 
7.","","2","功能测试","功能测试阶段","正常","0","2","7","失败","可颂","2025-11-24","旺仔","2025-11-29","1","",""
"168912","数据资产_STD(#23)","/版本迭代测试用例/v6.4.5/岚图/分区设置支持选择框配置动态分区参数(sparkThrift/hive数据源)(#9695)","","验证「选择动态分区」-选择一、二级分区校验结果正确","1. 1. 已存在${DATASOURCE}_${DATABASE}_${TABLE}数据源，并授权到当前测试项目
2. 表 DDL\DML 如下：
drop table if exists my_table_sink;
create table if not EXISTS my_table_sink (
id int,
name string,
age int,
dt string,
hour string,
ts timestamp(3)
) USING paimon
partitioned by (dt,hour)
tblproperties (
&#039;primary-key&#039; = &#039;id&#039;
);
INSERT INTO paimon_table VALUES
(1, &#039;Alice&#039;,21, &#039;2025-11-20&#039;, &#039;14&#039;, TIMESTAMP &#039;2025-11-20 14:30:00.123&#039;),
(2, &#039;Lily&#039;, 22, &#039;2025-11-20&#039;, &#039;15&#039;, TIMESTAMP &#039;2025-11-20 14:30:00.123&#039;)
(3, &#039;Bob&#039;, 23, &#039;2025-11-21&#039;, &#039;14&#039;, TIMESTAMP &#039;2025-11-20 14:30:00.123&#039;),;","1. 进入「数据质量」-「规则任务配置」-「监控对象」页面
2. 选择「选择动态分区」，一级分区选择「dt」，一级分区值选择「参数1」（2025-11-20），二级分区选择「hour」，二级分区值选择「参数2」(14)
3. 点击「数据预览」
4. 「规则名称」输入「test_rule」「选择数据源」选择「${DATASOURCE}」「选择数据库」选择「${DATABASE}」「选择数据表」选择「${TABLE}」
5. 「监控规则」新增「有效性校验」「字段」选择「age」「统计函数」选择「数值取值范围」「期望值」为「age <= 21」「过滤条件」设置为「id != 100」「强弱规则」选择为「弱规则」「规则描述」输入「测试规则」
6. 配置「调度属性」，保存规则
7. 立即运行规则，查看规则运行结果
8. 进入任务实例页面查看规则明细数据","1. 进入成功
2. 一、二级分区数据选择成功
3. 展示所有数据(需要确认是否合理)
4. 监控对象配置成功
5. 监控规则配置完成
6. 规则保存成功
7. 规则校验通过
8. 没有脏数据","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8.","","1","功能测试","功能测试阶段","正常","0","2","8","通过","可颂","2025-11-24","旺仔","2025-11-29","1","",""
"168911","数据资产_STD(#23)","/版本迭代测试用例/v6.4.5/岚图/分区设置支持选择框配置动态分区参数(sparkThrift/hive数据源)(#9695)","","验证「选择动态分区」-仅选择一级分区校验结果正确","1. 1. 已存在${DATASOURCE}_${DATABASE}_${TABLE}数据源，并授权到当前测试项目
2. 表 DDL\DML 如下：
drop table if exists my_table_sink;
create table if not EXISTS my_table_sink (
id int,
name string,
age int,
dt string,
hour string,
ts timestamp(3)
) USING paimon
partitioned by (dt,hour)
tblproperties (
&#039;primary-key&#039; = &#039;id&#039;
);
INSERT INTO paimon_table VALUES
(1, &#039;Alice&#039;,21, &#039;2025-11-20&#039;, &#039;14&#039;, TIMESTAMP &#039;2025-11-20 14:30:00.123&#039;),
(2, &#039;Lily&#039;, 22, &#039;2025-11-20&#039;, &#039;15&#039;, TIMESTAMP &#039;2025-11-20 14:30:00.123&#039;),
(3, &#039;Bob&#039;, 23, &#039;2025-11-21&#039;, &#039;14&#039;, TIMESTAMP &#039;2025-11-20 14:30:00.123&#039;);","1. 进入「数据质量」-「规则任务配置」-「监控对象」页面
2. 选择「选择动态分区」，一级分区选择「dt」，一级分区值选择「参数1」（2025-11-20），不选择二级分区
3. 点击「数据预览」
4. 「规则名称」输入「test_rule」「选择数据源」选择「${DATASOURCE}」「选择数据库」选择「${DATABASE}」「选择数据表」选择「${TABLE}」
5. 「监控规则」新增「有效性校验」「字段」选择「age」「统计函数」选择「数值取值范围」「期望值」为「age <= 21」「过滤条件」设置为「id != 100」「强弱规则」选择为「弱规则」「规则描述」输入「测试规则」
6. 配置「调度属性」，保存规则
7. 立即运行规则，查看规则运行结果
8. 进入任务实例页面查看规则明细数据","1. 进入成功
2. 一级分区数据选择成功
3. 展示所有数据(需要确认是否合理)
4. 监控对象配置成功
5. 监控规则配置完成
6. 规则保存成功
7. 规则校验不通过
8. id 为2的那条数据被校验出来，age = 22，不符合期望值age<=21","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8.","","1","功能测试","功能测试阶段","正常","0","2","8","通过","可颂","2025-11-24","旺仔","2025-11-29","1","",""
"168910","数据资产_STD(#23)","/版本迭代测试用例/v6.4.5/岚图/分区设置支持选择框配置动态分区参数(sparkThrift/hive数据源)(#9695)","","验证「选择动态分区」-一二级分区字段不可重复选择","1. 1. 已存在${DATASOURCE}_${DATABASE}_${TABLE}数据源，并授权到当前测试项目
2. 表 DDL如下：
drop table if exists my_table_sink;
create table if not EXISTS my_table_sink (
id int,
name string,
dt string,
hour string,
ts timestamp(3)
) USING paimon
partitioned by (dt,hour)
tblproperties (
&#039;primary-key&#039; = &#039;id&#039;
);","1. 进入「数据质量」-「规则任务配置」-「监控对象」页面
2. 选择「选择动态分区」，一级分区选择「dt」，一级分区值选择「参数1」
3. 点击二级分区字段选择下拉框
4. 选择「hour」字段","1. 进入成功
2. 选择成功
3. 不可选择「dt」字段
4. 可正常选择","1. 
2. 
3. 
4.","","3","功能测试","功能测试阶段","正常","0","1","4","通过","可颂","2025-11-24","旺仔","2025-11-29","1","",""
"168909","数据资产_STD(#23)","/版本迭代测试用例/v6.4.5/岚图/分区设置支持选择框配置动态分区参数(sparkThrift/hive数据源)(#9695)","","验证「选择动态分区」-「分区值」全局参数下拉框展示正确","1. 1. 已存在${DATASOURCE}_${DATABASE}_${TABLE}数据源，并授权到当前测试项目
2. 表 DDL如下：
drop table if exists my_table_sink;
create table if not EXISTS my_table_sink (
id int,
name string,
dt string,
hour string,
ts timestamp(3)
) USING paimon
partitioned by (dt,hour)
tblproperties (
&#039;primary-key&#039; = &#039;id&#039;
);","1. 进入「数据质量」-「规则任务配置」-「监控对象」页面
2. 选择「选择动态分区」，点击「请选择一级分区字段」下拉框
3. 「一级分区字段」选择「dt」
4. 点击「请选择一级分区值」
5. 选择参数
6. 点击「请选择二级分区」
7. 「二级分区字段」选择「hour」
8. 点击「请选择二级分区值」
9. 选择参数","1. 进入成功
2. 展示表A所有字段id,name,dt,hour,ts
3. 一级分区字段选择成功
4. 展示全局参数中的参数名${参数名称（注释）}
5. 「一级分区值」选择成功
6. 展示「hour」字段
7. 二级分区字段选择成功
8. 展示全局参数中的参数名${参数名称（注释）}
9. 「二级分区值」选择成功","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9.","","3","功能测试","功能测试阶段","正常","0","1","9","通过","可颂","2025-11-24","旺仔","2025-11-29","1","",""
